name,startdate,dataTakeID,fileVersion,id,clouds,usable
FI-Hyy,2020-04-11 09:52:00,20200411095234,1,PRS_L2D_STD_20200411095234_20200411095238_0001,many,2
FI-Hyy,2020-06-26 10:02:00,20200626100214,1,PRS_L2D_STD_20200626100214_20200626100218_0001,no,1
FI-Hyy,2021-07-25 09:52:00,20210725095226,1,PRS_L2D_STD_20210725095226_20210725095230_0001,many,0
FI-Hyy,2021-03-31 09:52:00,20210331095230,1,PRS_L2D_STD_20210331095230_20210331095234_0001,many,0
FI-Hyy,2021-09-04 09:59:00,20210904095923,1,PRS_L2D_STD_20210904095923_20210904095927_0001,many,1
FI-Sii,2020-04-11 09:52:00,20200411095234,1,PRS_L2D_STD_20200411095234_20200411095238_0001,some,2
FI-Sii,2020-06-26 10:02:00,20200626100214,1,PRS_L2D_STD_20200626100214_20200626100218_0001,no,1
FI-Sii,2021-07-25 09:52:00,20210725095226,1,PRS_L2D_STD_20210725095226_20210725095230_0001,many,2
FI-Sii,2021-03-31 09:52:00,20210331095230,1,PRS_L2D_STD_20210331095230_20210331095234_0001,many,0
FI-Sii,2021-09-04 09:59:00,20210904095923,1,PRS_L2D_STD_20210904095923_20210904095927_0001,some,1
FR-Fon,2020-04-09 10:59:00,20200409105954,1,PRS_L2D_STD_20200409105954_20200409105958_0001,no,1
FR-Fon,2020-06-23 10:53:00,20200623105300,1,PRS_L2D_STD_20200623105300_20200623105304_0001,no,1
FR-Fon,2020-09-12 10:49:00,20200912104911,1,PRS_L2D_STD_20200912104911_20200912104915_0001,no,1
FR-Fon,2020-09-18 10:52:00,20200918105227,1,PRS_L2D_STD_20200918105227_20200918105231_0001,no,1
FR-Fon,2020-08-09 11:02:00,20200809110237,1,PRS_L2D_STD_20200809110237_20200809110241_0001,no,1
FR-Fon,2020-10-11 10:48:00,20201011104853,1,PRS_L2D_STD_20201011104853_20201011104858_0001,many,0
FR-Fon,2021-04-27 10:59:00,20210427105924,1,PRS_L2D_STD_20210427105924_20210427105928_0001,no,1
FR-Fon,2021-06-06 10:49:00,20210606104924,1,PRS_L2D_STD_20210606104924_20210606104928_0001,many,0
